match_id,Season,total_runs
480,IPL-2014,308
481,IPL-2014,313
482,IPL-2014,330
483,IPL-2014,359
484,IPL-2014,355
485,IPL-2014,321
486,IPL-2014,418
487,IPL-2014,236
488,IPL-2014,364
489,IPL-2014,187
490,IPL-2014,317
491,IPL-2014,299
492,IPL-2014,381
493,IPL-2014,317
494,IPL-2014,297
495,IPL-2014,356
496,IPL-2014,416
497,IPL-2014,283
498,IPL-2014,340
499,IPL-2014,280
500,IPL-2014,288
501,IPL-2014,331
502,IPL-2014,329
503,IPL-2014,321
504,IPL-2014,310
505,IPL-2014,315
506,IPL-2014,360
507,IPL-2014,374
508,IPL-2014,331
509,IPL-2014,342
510,IPL-2014,314
511,IPL-2014,321
512,IPL-2014,234
513,IPL-2014,384
514,IPL-2014,298
515,IPL-2014,349
516,IPL-2014,428
517,IPL-2014,399
518,IPL-2015,338
519,IPL-2015,299
520,IPL-2015,298
521,IPL-2015,373
522,IPL-2015,356
523,IPL-2015,370
524,IPL-2015,336
525,IPL-2015,338
526,IPL-2015,329
527,IPL-2015,334
528,IPL-2015,334
529,IPL-2015,258
530,IPL-2015,372
531,IPL-2015,330
532,IPL-2015,314
533,IPL-2015,313
534,IPL-2015,400
535,IPL-2015,293
536,IPL-2015,403
537,IPL-2015,277
538,IPL-2015,335
539,IPL-2015,343
540,IPL-2015,264
541,IPL-2015,294
542,IPL-2015,287
543,IPL-2015,194
544,IPL-2015,280
545,IPL-2015,329
546,IPL-2015,200
547,IPL-2015,266
548,IPL-2015,237
549,IPL-2015,366
550,IPL-2015,226
551,IPL-2015,362
552,IPL-2015,321
553,IPL-2015,364
554,IPL-2015,272
555,IPL-2015,299
556,IPL-2015,305
557,IPL-2015,314
558,IPL-2015,395
559,IPL-2015,317
560,IPL-2015,367
561,IPL-2015,320
562,IPL-2015,431
563,IPL-2015,302
564,IPL-2015,365
565,IPL-2015,239
566,IPL-2015,190
567,IPL-2015,337
568,IPL-2015,218
569,IPL-2015,264
570,IPL-2015,389
571,IPL-2015,189
572,IPL-2015,227
573,IPL-2015,349
